(0.00, 5.30, -2.80)
(0.00, 5.30, -2.60)
(1.20, 10.15, 0.60)
(4.56, 7.36, 1.60)
(4.56, 7.36, 2.20)
(4.56, 7.36, 2.20)
(4.56, 7.36, 2.40)
(4.56, 7.36, 2.80)
(4.56, 7.36, 3.00)
(4.56, 7.36, 3.40)
(4.56, 7.36, 3.60)
(4.56, 7.36, 3.80)
(4.56, 7.31, 4.40)
(4.56, 7.31, 5.00)
(4.56, 7.31, 5.20)
(4.56, 7.31, 5.40)
(4.56, 7.26, 5.60)
(4.67, 7.09, 5.80)
(4.72, 6.94, 6.20)
(4.82, 6.63, 6.40)
(4.82, 6.48, 6.60)
(4.82, 6.43, 6.80)
(4.87, 6.28, 7.00)
(4.87, 6.28, 7.00)
(4.87, 6.28, 7.20)
(4.87, 6.28, 7.40)
(4.87, 6.28, 7.60)
(4.87, 6.43, 7.80)
(4.72, 6.83, 8.00)
(4.52, 7.28, 8.20)
(4.07, 7.93, 8.60)
(4.02, 8.08, 8.80)
(3.92, 8.28, 9.00)
(3.92, 8.28, 9.20)
(3.92, 8.28, 9.20)
(3.92, 8.28, 9.40)
(3.62, 8.03, 9.60)
(3.42, 7.88, 9.80)
(2.47, 7.38, 10.20)
(0.37, 6.88, 10.40)
(-0.43, 6.78, 10.60)
(-1.08, 6.68, 10.80)
(-2.43, 6.58, 11.00)
(-2.78, 6.58, 11.20)
(-2.78, 6.58, 11.40)
(-2.78, 6.58, 11.60)
(-2.78, 6.58, 11.60)
(-2.83, 6.63, 11.80)
(-2.98, 6.88, 12.00)
(-3.33, 7.23, 12.40)
(-3.48, 7.33, 12.40)
(-3.48, 7.38, 12.60)
(-3.53, 7.38, 12.80)
(-3.53, 7.38, 13.00)
(-3.63, 7.43, 13.20)
(-3.63, 7.43, 13.40)
(-3.63, 7.43, 13.80)
(-3.63, 7.43, 14.00)
(-3.63, 7.43, 14.60)
(-3.13, 6.88, 14.80)
(-2.73, 6.58, 15.00)
(-2.33, 6.18, 15.20)
(-2.08, 5.93, 15.40)
(-2.03, 5.73, 15.40)
(-1.93, 5.28, 15.60)
(-1.93, 5.03, 15.80)
(-2.08, 4.33, 16.00)
(-2.18, 4.13, 16.20)
(-2.33, 3.78, 16.40)
(-2.43, 3.68, 16.80)
(-2.48, 3.63, 17.00)
(-2.53, 3.63, 17.20)
(-2.58, 3.63, 17.20)
(-2.63, 3.68, 17.40)
(-2.63, 4.13, 17.80)
(-2.43, 5.43, 18.20)
(-2.03, 5.98, 18.40)
(-1.58, 6.33, 18.60)
(-0.88, 6.53, 18.80)
(-0.13, 6.53, 19.20)
(0.27, 6.43, 19.40)
(0.37, 6.28, 20.00)
(0.37, 6.13, 20.40)
(0.37, 6.13, 20.60)
(0.37, 6.13, 20.80)
(0.37, 6.13, 21.20)
(0.37, 6.13, 21.40)
(0.37, 6.13, 21.60)
(0.37, 6.13, 21.80)
(0.57, 6.23, 22.20)
(0.57, 6.23, 22.40)
(0.77, 5.78, 22.60)
(0.92, 5.03, 22.80)
(1.02, 4.23, 23.00)
(0.97, 2.38, 23.20)
(0.82, 1.73, 23.40)
(0.62, 1.58, 23.80)
(0.62, 1.53, 23.80)
(0.62, 1.53, 24.00)
(0.62, 1.53, 24.20)
(0.62, 1.53, 24.40)
(0.57, 1.58, 24.60)
(0.52, 1.73, 24.80)
(0.42, 1.88, 25.00)
(0.37, 2.08, 25.20)
(0.22, 2.33, 25.60)
(0.07, 2.53, 25.80)
(-0.23, 2.83, 26.00)
(-0.63, 3.13, 26.20)
(-1.58, 3.73, 26.40)
(-2.53, 4.43, 26.60)
(-3.78, 5.43, 26.80)
(-4.84, 6.56, 27.00)
(-4.59, 7.29, 27.20)
(-4.34, 7.79, 27.40)
(-4.09, 8.04, 27.80)
(-3.49, 8.04, 28.20)
(-2.74, 7.59, 28.60)
(-2.39, 7.19, 28.60)
(-2.14, 6.99, 28.80)
(-1.79, 6.34, 29.20)
(-1.64, 5.89, 29.40)
(-1.54, 5.74, 29.60)
(-1.09, 5.39, 29.80)
(-0.19, 5.39, 30.20)
(3.56, 6.59, 30.60)
(4.78, 6.75, 31.00)
(4.79, 6.74, 31.40)
(4.79, 6.74, 31.60)
(4.49, 6.59, 32.00)
(4.34, 6.54, 32.20)
(4.34, 6.54, 32.40)
(4.34, 6.54, 32.60)
(4.34, 6.54, 32.80)
(4.24, 6.54, 33.00)
(4.04, 6.44, 33.20)
(3.69, 6.14, 33.40)
(3.59, 6.04, 33.60)
(2.34, 4.59, 34.00)
(1.49, 3.69, 34.20)
(-0.06, 2.64, 34.40)
(-1.16, 2.34, 34.60)
(-2.36, 2.39, 34.80)
(-3.51, 3.04, 35.00)
(-4.46, 4.09, 35.20)
(-4.99, 5.66, 35.40)
